all_borrow_events,all_borrow_usd_approx,all_borrowers,borrower_coverage_share,chain,cohort_borrow_events,cohort_borrow_usd_approx,cohort_borrowers,event_coverage_share,volume_coverage_share
41477,240338347.52935156,12159,0.7341886668311539,base,33529,211849140.9723271,8927,0.8083757263061456,0.8814620852232281
8733,1331909357.8879428,1336,0.2679640718562874,ethereum,1569,370869707.86179197,358,0.17966334592923394,0.2784496600053127
